dbn,School Name,# Applicants,% Asian Applicants,% Asian Applicants - Estimate Off By (+/-),% Black Applicants,% Black Applicants - Estimate Off By (+/-),% Latino Applicants,% Latino Applicants - Estimate Off By (+/-),% White Applicants,% White Applicants - Estimate Off By (+/-),# Offers,% Asian Offers,% Asian Offers - Estimate Off By (+/-),% Black Offers,% Black Offers - Estimate Off By (+/-),% Latino Offers,% Latino Offers - Estimate Off By (+/-),% White Offers,% White Offers - Estimate Off By (+/-)
05M670,Thurgood Marshall Academy for Learning and Social Change,589.0,1.2,0.0,57.6,0.0,34.0,0.0,1.9,0.0,159.0,1.6,1.6,64.2,0.0,28.3,0.0,1.6,1.6
06M293,City College Academy of the Arts,1695.0,5.1,0.0,18.6,0.0,66.0,0.0,2.1,0.0,96.0,2.6,2.6,2.6,2.6,92.7,0.0,2.6,2.6
07X495,University Heights Secondary School,3206.0,5.7,0.0,29.3,0.0,57.3,0.0,2.7,0.0,184.0,7.1,0.0,25.0,0.0,57.1,0.0,4.1,0.8
07X500,Hostos-Lincoln Academy of Science,1562.0,3.1,0.0,31.6,0.0,58.7,0.0,1.5,0.0,110.0,1.8,1.8,29.1,0.0,67.3,0.0,1.8,1.8
09X324,Bronx Early College Academy for Teaching & Learning,672.0,2.2,0.0,26.6,0.0,66.1,0.0,1.8,0.0,130.0,1.9,1.9,23.8,0.0,65.4,0.0,1.9,1.9
09X413,Bronx High School for Medical Science,1025.0,4.9,0.0,29.5,0.0,59.5,0.0,2.2,0.0,151.0,1.7,1.7,37.1,0.0,53.0,0.0,1.7,1.7
09X568,Young Women's Leadership School of the Bronx,555.0,4.7,0.0,33.5,0.0,56.4,0.0,2.2,0.0,112.0,5.4,0.0,32.1,0.0,57.1,0.0,2.2,2.2
10X141,Riverdale / Kingsbridge Academy (M.S / High School 141),1182.0,3.7,0.0,17.6,0.0,64.4,0.0,8.6,0.0,251.0,3.6,0.0,7.2,0.0,62.9,0.0,22.7,0.0
10X225,Theatre Arts Production Company School,610.0,1.1,0.0,33.4,0.0,60.3,0.0,1.6,0.0,85.0,2.9,2.9,34.1,0.0,55.3,0.0,2.9,2.9
10X368,In-Tech Academy (M.S. / High School 368),818.0,3.2,0.0,16.9,0.0,75.2,0.0,1.8,0.0,161.0,1.6,1.6,10.6,0.0,80.1,0.0,1.6,1.6
