,No. of Schools,No. of Applicants,No. of Offers,Overall Offer Rate (%),Asian Offer Rate (%),Black Offer Rate (%),Latino Offer Rate (%),White Offer Rate (%)
All Screened Schools,75,181713,15427,8.5,9.0,7.8,7.8,10.4
"""Top-Ranked"" Screened Schools",27,107326,7341,6.8,8.6,4.4,4.9,9.2
