Category,# Schools,# Applicants,% Asian Applicants,% Asian Applicants - Estimate Off By (+/-),% Black Applicants,% Black Applicants - Estimate Off By (+/-),% Latino Applicants,% Latino Applicants - Estimate Off By (+/-),% White Applicants,% White Applicants - Estimate Off By (+/-),# Offers,% Asian Offers,% Asian Offers - Estimate Off By (+/-),% Black Offers,% Black Offers - Estimate Off By (+/-),% Latino Offers,% Latino Offers - Estimate Off By (+/-),% White Offers,% White Offers - Estimate Off By (+/-)
Top-Ranked Screened High Schools,27,107326.0,24.8,0.0,16.5,0.0,27.2,0.0,19.0,0.0,7341.0,31.2,0.0,10.7,0.4,19.4,0.1,25.4,0.1
All Screened High Schools,75,181713.0,18.6,0.0,21.7,0.0,32.4,0.0,16.1,0.0,15427.0,19.6,0.3,19.9,0.2,29.9,0.1,19.8,0.4
